gene	chrom	synonym	hgnc_id	entrez_id	rvis_pct	clinvar_gene_phenotype
A2ML1	chr12	CPAMD9,FLJ25179	23336	144568	98.52559566	nonsyndromic_otitis_media
ANKDD1B	chr5	None	32525	728780	None	None
APC	chr5	DP3,PPP1R46,DP2,DP2.5	583	324	0.902335456	apc-associated_polyposis_disorders|adenomatous_colonic_polyposis|adenomatous_polyposis_coli\x2c_susceptibility_to|adenomatous_polyposis_coli_with_congenital_cholesteatoma|brain_tumor-polyposis_syndrome_2|breast_cancer\x2c_susceptibility_to|carcinoma_of_colon|colon_cancer|colorectal_adenoma|colorectal_cancer\x2c_susceptibility_to|desmoid_disease\x2c_hereditary|familial_adenomatous_polyposis_1|familial_cancer_of_breast|familial_colorectal_cancer|familial_multiple_polyposis_syndrome|gardner_syndrome|hepatoblastoma|hepatocellular_carcinoma|hereditary_cancer-predisposing_syndrome|monoclonal_b-cell_lymphocytosis|neoplasm_of_stomach|periampullary_adenoma
ARHGAP9	chr12	10C,MGC1295	14130	64333	30.90351498	coronary_artery_spasm_3\x2c_susceptibility_to
C2CD5	chr12	CDP138,KIAA0528	29062	9847	None	None
CCDC62	chr12	ERAP75,CT109,FLJ40344,TSP-NY	30723	84660	82.29535268	None
CDH12	chr5	Br-cadherin,CDHB	1751	1010	29.48808681	None
CDH18	chr5	EY-CADHERIN,CDH14	1757	1016	5.602736494	None
CLEC4C	chr12	DLEC,CLECSF7,CD303,HECL,CLECSF11,BDCA2	13258	170482	86.47676339	None
CLEC6A	chr12	dectin-2,CLECSF10	14556	93978	89.95635763	None
COX7C	chr5	None	2292	1350	62.38499646	None
DDX51	chr12	None	20082	317781	64.96225525	None
ELAC2	chr17	FLJ10530,HPC2	14198	60528	10.12031139	combined_oxidative_phosphorylation_deficiency_17|prostate_cancer\x2c_hereditary\x2c_2
ERN1	chr17	IRE1P,IRE1	3449	2081	24.63434772	None
FBXO21	chr12	FBX21,KIAA0875	13592	23014	12.77423921	None
HAPLN1	chr5	CRTL1	2380	1404	20.53550366	None
ITGB7	chr12	None	6162	3695	4.62962963	None
KRAS	chr12	KRAS1,KRAS2	6407	3845	42.87567823	acute_myeloid_leukemia|bladder_cancer\x2c_transitional_cell\x2c_somatic|breast_adenocarcinoma|carcinoma_of_pancreas|cardio-facio-cutaneous_syndrome|cardiofaciocutaneous_syndrome_1|cardiofaciocutaneous_syndrome_2|endometrial_carcinoma|epidermal_nevus|epidermal_nevus_syndrome|familial_cancer_of_breast|juvenile_myelomonocytic_leukemia|lung_cancer|malignant_tumor_of_urinary_bladder|medullary_thyroid_carcinoma|neoplasm_of_ovary|neoplasm_of_stomach|nevus_sebaceous|non-small_cell_lung_cancer|noonan_syndrome|noonan_syndrome_1|noonan_syndrome_3|oculoectodermal_syndrome|pilocytic_astrocytoma|primary_familial_hypertrophic_cardiomyopathy|ras-associated_autoimmune_leukoproliferative_disorder|rasopathy|sarcoma|squamous_cell_carcinoma_of_lung|not_specified,not_specified
KRBA2	chr17	None	26989	124751	57.31304553	None
LINC01019	chr5	None	27742	285577	None	None
LYRM7	chr5	FLJ20796,C5orf31,MZM1L	28072	90624	56.2514744	mitochondrial_complex_iii_deficiency\x2c_nuclear_type_8
METTL2A	chr17	METTL2,FLJ12760	25755	339175	67.03231894	None
MROH2B	chr5	FLJ40243,DKFZp781F0822,HEATR7B2	26857	133558	None	None
PCDHB9	chr5	PCDH-BETA9,PCDH3H	8694	None	None	None
PCDHGB1	chr5	PCDH-GAMMA-B1	8708	56104	10.92238736	None
PCDHGB7	chr5	PCDH-GAMMA-B7,ME6	8714	56099	48.90894079	None
PDE3A	chr12	CGI-PDE	8778	5139	6.894314697	brachydactyly_with_hypertension
RACK1	chr5	GNB2L1,H12.3,Gnb2-rs1	None	10399	46.20193442	None
RNF213	chr17	NET57,KIAA1618,KIAA1554,MYMY2,C17orf27	14539	57674	97.65274829	moyamoya_disease_2
SLC16A5	chr17	MCT5,MCT6	10926	9121	36.22906346	None
